url,title,price,category,specs
https://hoanghamobile.com/dien-thoai/oscal-tiger-12-12gb-256gb-chinh-hang,OSCAL TIGER 12 (12+12GB/256GB) - Chính hãng,"3,990,000 ₫",,"{'Mạng di động': '2G, 3G, 4G', 'Độ phân giải camera': 'Camera chính 64MP Samsung ISOCELLGW3', 'Bộ nhớ trong': '256GB', 'Công nghệ màn hình': 'IPS LCD', 'Kích thước màn hình': '6.78""'}"
https://hoanghamobile.com/dien-thoai/inoi-a54-4gb-256gb,A54 4GB/256GB,"2,990,000 ₫",,"{'Độ phân giải camera': '50 MP', 'Hệ điều hành': 'Android 13', 'Vi xử lý': 'Mediatek G88', 'Độ phân giải': '720 x 1600', 'Dung lượng pin sản phẩm': '5000 mAh'}"
https://hoanghamobile.com/dien-thoai/iphone-16-pro-512gb,iPhone 16 Pro (512GB) - Chính hãng VN/A,"37,990,000 ₫",Điện thoại,"{'Độ phân giải camera': 'Camera 12MP, khẩu độ ƒ/1.9', 'Bộ nhớ trong': '256GB', 'Số khe SIM': '1 Nano SIM', 'Công nghệ màn hình': 'Super Retina XDR', 'Kích thước màn hình': '6.3""'}"
https://hoanghamobile.com/dien-thoai/inoi-244,INOI 244,"500,000 ₫",,"{'Bộ nhớ trong': '128MB', 'Độ phân giải': '128 x 160', 'Dung lượng pin sản phẩm': '1200mAh'}"
https://hoanghamobile.com/dien-thoai/inoi-note-13s-8gb-256gb-chinh-hang,Điện thoại INOI Note 13s (8GB/256GB),"3,390,000 ₫",,"{'Số khe SIM': '2 Nano SIM', 'Độ phân giải camera': 'Camera chính 13MP', 'Bộ nhớ trong': '256GB', 'Công nghệ màn hình': 'IPS LCD', 'Kích thước màn hình': '6.95""'}"
https://hoanghamobile.com/dien-thoai/inoi-a83-6gb-128gb-chinh-hang,Điện thoại INOI A83 (6GB/128GB) ,"1,990,000 ₫",,"{'Số khe SIM': '2 Nano SIM', 'Mạng di động': '2G, 3G, 4G', 'Hệ điều hành': 'Android 12', 'Công nghệ màn hình': 'IPS LCD', 'Kích thước màn hình': '6.52""'}"
https://hoanghamobile.com/dien-thoai/inoi-288s-chinh-hang,Điện thoại INOI 288S ,"1,190,000 ₫",,"{'Số khe SIM': '2 Nano SIM', 'Độ phân giải camera': '0.3MP', 'Công nghệ màn hình': 'LCD', 'Kích thước màn hình': '2""'}"
https://hoanghamobile.com/dien-thoai/inoi-a72-4gb-128gb-chinh-hang,Điện thoại INOI A72 (4GB/128GB) ,"2,490,000 ₫",,"{'Số khe SIM': '2 Nano SIM', 'Hệ điều hành': 'Android 11', 'Mạng di động': '2G, 3G, 4G', 'Công nghệ màn hình': 'IPS LCD', 'Kích thước màn hình': '6.5""'}"
https://hoanghamobile.com/dien-thoai-di-dong/realme-c30s-3gb-64gb-chinh-hang,Điện thoại realme C30s 3GB/64GB ,"2,490,000 ₫",,"{'Độ phân giải camera': '8MP', 'Mạng di động': 'Không hỗ trợ 5G', 'Bộ nhớ trong': '64GB', 'Công nghệ màn hình': 'LCD', 'Kích thước màn hình': '6.5""'}"
https://hoanghamobile.com/dien-thoai/realme-c61-6-128gb,Realme C61 6/128Gb- Chính hãng,"3,990,000 ₫",,"{'Độ phân giải camera': '50MP', 'Bộ nhớ trong': '128GB', 'Số khe SIM': '02 Nano SIM + 01 Micro SD', 'Công nghệ màn hình': 'LCD', 'Kích thước màn hình': '6.7""'}"
https://hoanghamobile.com/dien-thoai-di-dong/realme-c30s-2gb-32gb-chinh-hang,Điện thoại realme C30s 2GB/32GB ,"1,750,000 ₫",,"{'Độ phân giải camera': '8MP', 'Bộ nhớ trong': '32GB', 'Số khe SIM': '2 nano SIM + 1 thẻ nhớ riêng', 'Công nghệ màn hình': 'LCD', 'Kích thước màn hình': '6.5""'}"
https://hoanghamobile.com/dien-thoai/realme-c61-4-128gb,Realme C61 4/128GB-  Chính hãng,"3,590,000 ₫",,"{'Độ phân giải camera': '50MP', 'Bộ nhớ trong': '128GB', 'Số khe SIM': '02 Nano SIM + 01 Micro SD', 'Công nghệ màn hình': 'LCD', 'Kích thước màn hình': '6.7""'}"
https://hoanghamobile.com/dien-thoai-di-dong/realme-10-4g-8gb-256gb-chinh-hang,Điện thoại realme 10 4G 8GB/256GB ,"6,090,000 ₫",,"{'Bộ nhớ trong': '256GB', 'Hệ điều hành': 'realme UI 3.0', 'Số khe SIM': '2 nano SIM', 'Công nghệ màn hình': 'Super AMOLED', 'Kích thước màn hình': '6.4""'}"
https://hoanghamobile.com/dien-thoai-di-dong/realme-c55-8gb-256gb-chinh-hang,Điện thoại realme C55 - 8GB/256GB ,"4,470,000 ₫",,"{'Độ phân giải camera': 'Chính 64MP + B&W 2MP', 'Mạng di động': '4G, Chưa hỗ trơ 5G', 'Bộ nhớ trong': '256GB', 'Công nghệ màn hình': 'LCD', 'Kích thước màn hình': '6.72""'}"
https://hoanghamobile.com/dien-thoai-di-dong/realme-c51-6gb-256gb-chinh-hang,Điện thoại Realme C51 6GB/256GB,"3,690,000 ₫",,"{'Độ phân giải camera': '50M+QVGA', 'Hệ điều hành': 'Android 13', 'Số khe SIM': '2 Nano SIM', 'Công nghệ màn hình': 'IPS LCD', 'Kích thước màn hình': '6.7""'}"
https://hoanghamobile.com/dien-thoai-di-dong/realme-c51-3gb-64gb-chinh-hang,Điện thoại realme C51 3GB/64GB ,"2,790,000 ₫",,"{'Độ phân giải camera': '50M+QVGA', 'Hệ điều hành': 'Android 13', 'Số khe SIM': '2 Nano SIM', 'Công nghệ màn hình': 'IPS LCD', 'Kích thước màn hình': '6.7""'}"
https://hoanghamobile.com/dien-thoai-di-dong/realme-c51-4gb-128gb-chinh-hang,Realme C51 4GB/128GB- Chính hãng,"3,490,000 ₫",,"{'Độ phân giải camera': '50M+QVGA', 'Hệ điều hành': 'Android 13', 'Số khe SIM': '2 Nano SIM', 'Công nghệ màn hình': 'IPS LCD', 'Kích thước màn hình': '6.7""'}"
https://hoanghamobile.com/dien-thoai-di-dong/realme-11-pro-chinh-hang,Điện thoại realme 11 Pro 8GB/256GB ,"10,990,000 ₫",,"{'Độ phân giải camera': 'Chính OIS 100MP + Chân dung 2MP', 'Bộ nhớ trong': '256GB', 'Số khe SIM': '2 nano SIM', 'Công nghệ màn hình': 'OLED', 'Kích thước màn hình': '6.72""'}"
https://hoanghamobile.com/dien-thoai-di-dong/realme-c35-4gb-128gb-chinh-hang,Điện thoại realme C35 - 4GB/128GB,"4,490,000 ₫",,"{'Độ phân giải camera': 'Chính 50 MP & Phụ 2 MP, 0.3 MP', 'Bộ nhớ trong': '128GB', 'Số khe SIM': '2 Nano SIM', 'Công nghệ màn hình': 'IPS LCD', 'Kích thước màn hình': '6.6""'}"
https://hoanghamobile.com/dien-thoai-di-dong/realme-c35-4g-64g-chinh-hang,Điện thoại realme C35 - 4GB/64GB ,"3,090,000 ₫",,"{'Độ phân giải camera': 'Chính 50 MP & Phụ 2 MP, 0.3 MP', 'Mạng di động': 'Hỗ trợ 4G', 'Bộ nhớ trong': '64GB', 'Công nghệ màn hình': 'IPS LCD', 'Kích thước màn hình': '6.6""'}"
https://hoanghamobile.com/dien-thoai-di-dong/realme-c33-4gb-64gb-chinh-hang,Điện thoại realme C33 4GB/64GB ,"2,790,000 ₫",,"{'Bộ nhớ trong': '64GB', 'Hệ điều hành': 'Android 12', 'Số khe SIM': '2 Nano SIM', 'Công nghệ màn hình': 'IPS LCD', 'Kích thước màn hình': '6.5""'}"
https://hoanghamobile.com/dien-thoai-di-dong/realme-c33-3gb-32gb-chinh-hang,Điện thoại realme C33 3GB/32GB ,"2,290,000 ₫",,"{'Độ phân giải camera': '50MP x 0.3 MP', 'Số khe SIM': '2 nano SIM', 'Mạng di động': 'Hỗ trợ 4G', 'Công nghệ màn hình': 'LCD', 'Kích thước màn hình': '6.5""'}"
https://hoanghamobile.com/dien-thoai-di-dong/realme-c55-6gb-128gb-chinh-hang,Realme C55 - 6GB/128GB - Chính hãng,"3,690,000 ₫",,"{'Độ phân giải camera': 'Chính 64MP + B&W 2MP', 'Mạng di động': '4G, Chưa hỗ trơ 5G', 'Bộ nhớ trong': '128GB', 'Công nghệ màn hình': 'LCD', 'Kích thước màn hình': '6.72""'}"
https://hoanghamobile.com/dien-thoai/realme-c60-4gb-64gb-chinh-hang,Điện thoại realme C60 (4GB/64GB),"2,790,000 ₫",,"{'Độ phân giải camera': 'Camera chính 13MP & Phụ 0.08MP', 'Bộ nhớ trong': '64GB', 'Số khe SIM': '2 nano SIM + 1 khe thẻ nhớ', 'Công nghệ màn hình': 'IPS LCD', 'Kích thước màn hình': '6.7""'}"
https://hoanghamobile.com/dien-thoai-di-dong/infinix-hot-30i-4gb-128gb-chinh-hang,Điện thoại Infinix HOT 30i (4+4GB/128GB),"2,090,000 ₫",,"{'Độ phân giải camera': 'Camera góc rộng 13 MP f/1.9 AF', 'Mạng di động': '2G, 3G, 4G', 'Hệ điều hành': 'XOS dựa trên Android 12', 'Công nghệ màn hình': 'IPS LCD', 'Kích thước màn hình': '6.56""'}"
https://hoanghamobile.com/dien-thoai/realme-note-60-4-64gb,Realme Note 60 4/64GB - Chính hãng,"2,990,000 ₫",,"{'Độ phân giải camera': '32MP', 'Bộ nhớ trong': '64GB', 'Số khe SIM': '2 nano SIM + 1 khe thẻ nhớ', 'Công nghệ màn hình': 'IPS LCD', 'Kích thước màn hình': '6.75""'}"
https://hoanghamobile.com/dien-thoai/realme-c53-8-256gb-chinh-hang,Điện thoại realme C53 - 8GB/256GB,"3,790,000 ₫",,"{'Độ phân giải camera': 'Chính 50MP + 0.08MP', 'Bộ nhớ trong': '256GB', 'Số khe SIM': '2 nano SIM + 1 khe thẻ nhớ', 'Công nghệ màn hình': 'IPS LCD', 'Kích thước màn hình': '6.7""'}"
https://hoanghamobile.com/dien-thoai/infinix-hot-40-pro-8gb-256gb-chinh-hang,Điện thoại Infinix HOT 40 PRO (8+8GB/256GB) ,"3,890,000 ₫",,"{'Mạng di động': '2G, 3G, 4G', 'Độ phân giải camera': 'Camera trước 32MP f/2.2', 'Bộ nhớ trong': '256GB', 'Công nghệ màn hình': 'IPS LCD', 'Kích thước màn hình': '6.78""'}"
https://hoanghamobile.com/dien-thoai-di-dong/dien-thoai-di-dong-xor-x2-classic-bundle-chinh-hang,Điện thoại XOR TITANIUM X2 CLASSIC BUNDLE ,"156,000,000 ₫",,"{'Hệ điều hành': 'Hệ điều hành XOR được xây dựng riêng biệt', 'Vi xử lý': 'Không có', 'Độ phân giải': '240 x 320', 'Dung lượng pin sản phẩm': '1300mAh'}"
https://hoanghamobile.com/dien-thoai/infinix-hot-40i-4gb-128gb-chinh-hang,Điện thoại Infinix HOT 40i (4+4GB/128GB) ,"2,190,000 ₫",,"{'Bộ nhớ trong': '128GB', 'Số khe SIM': '2 nano SIM', 'Hệ điều hành': 'XOS 13 dựa trên Android 13', 'Công nghệ màn hình': 'IPS LCD', 'Kích thước màn hình': '6.56""'}"
https://hoanghamobile.com/dien-thoai/dien-thoai-di-dong-hera-s9-2.8-inch,"Điện thoại Hera S9 - 2.8"" - Chính hãng ","490,000 ₫",,"{'Bộ nhớ trong': '128MB', 'Công nghệ màn hình': 'Đang cập nhật', 'Kích thước màn hình': '2.8""'}"
